quota_id,其他材料费,采购保管费
A10-11,0.0141,
A10-12,0.02,
A10-13,0.02,
A10-192,0.0073,
A10-193,0.0073,
A10-194,0.005,
A10-195,0.005,
A10-229,0.005,
A10-230,0.005,
A10-231,0.004699999999999999,
A10-233,0.005,
A10-234,0.005,
A10-235,0.005,
A10-236,0.005,
A10-253,0.02,
A10-254,0.015,
A10-255,0.015,
A10-256,0.02,
A10-28,0.02,
A10-36,0.0141,
A10-37,0.02,
A10-38,0.02,
A10-62,0.0095,
A10-63,0.0092,
A10-64,0.0091,
A10-65,0.0091,
A10-68,0.004,
A10-94,0.015,
A10-95,0.015,
A10-98,0.01,
A11-1,0.0024,
A11-10,0.0001,
A11-11,0.0006,
A11-12,0.0006,
A11-13,0.002,
A11-14,0.004,
A11-15,0.004,
A11-16,0.01,
A11-17,0.01,
A11-18,0.01,
A11-19,0.01,
A11-2,0.0021,
A11-20,0.02,
A11-21,0.02,
A11-22,0.02,
A11-23,0.02,
A11-24,0.02,
A11-25,0.002,
A11-26,0.002,
A11-27,0.0024,
A11-28,0.0040999999999999995,
A11-29,0.0040999999999999995,
A11-3,0.0021,
A11-30,0.005,
A11-31,0.0003,
A11-32,0.006,
A11-33,0.02,
A11-34,0.002,
A11-35,0.0011,
A11-36,0.0025,
A11-39,0.02,
A11-4,0.0024,
A11-40,0.02,
A11-41,0.02,
A11-42,0.02,
A11-43,0.02,
A11-44,0.02,
A11-46,0.02,
A11-47,0.006999999999999999,
A11-48,0.0034000000000000002,
A11-49,0.02,
A11-5,0.0023,
A11-50,0.02,
A11-51,0.0171,
A11-52,0.0171,
A11-53,0.0171,
A11-54,0.0171,
A11-55,0.02,
A11-56,0.015,
A11-58,0.015,
A11-6,0.0009,
A11-7,0.0008,
A11-8,0.0008,
A11-9,0.0003,
A12-100,0.0039000000000000003,
A12-108,0.02,
A12-109,0.02,
A12-110,0.0083,
A12-115,0.01,
A12-116,0.01,
A12-117,0.01,
A12-118,0.01,
A12-119,0.01,
A12-120,0.01,
A12-121,0.01,
A12-122,0.01,
A12-130,0.005,
A12-147,0.0024,
A12-149,0.0024,
A12-151,0.0022,
A12-154,0.0015,
A12-164,0.01,
A12-178,0.01,
A12-179,0.01,
A12-180,0.01,
A12-181,0.01,
A12-182,0.01,
A12-183,0.01,
A12-240,0.004,
A12-241,0.004,
A12-260,0.001,
A12-262,0.0016,
A12-263,0.0063,
A12-264,0.0016,
A12-265,0.0063,
A12-274,0.0017000000000000001,
A12-275,0.0017000000000000001,
A12-291,0.01,
A12-42,0.015,
A12-43,0.015,
A12-77,0.01,
A12-78,0.01,
A12-83,0.02,
A13-1,0.02,
A13-10,0.02,
A13-100,0.02,
A13-101,0.02,
A13-102,0.02,
A13-103,0.02,
A13-104,0.02,
A13-105,0.02,
A13-106,0.02,
A13-107,0.02,
A13-108,0.02,
A13-109,0.02,
A13-11,0.02,
A13-110,0.02,
A13-111,0.02,
A13-112,0.02,
A13-113,0.02,
A13-114,0.02,
A13-115,0.02,
A13-116,0.02,
A13-117,0.02,
A13-118,0.02,
A13-119,0.02,
A13-12,0.02,
A13-120,0.02,
A13-121,0.02,
A13-122,0.02,
A13-123,0.02,
A13-124,0.02,
A13-125,0.02,
A13-126,0.02,
A13-127,0.02,
A13-128,0.02,
A13-129,0.02,
A13-13,0.02,
A13-130,0.02,
A13-131,0.02,
A13-132,0.02,
A13-133,0.02,
A13-134,0.02,
A13-135,0.02,
A13-136,0.02,
A13-137,0.02,
A13-138,0.02,
A13-139,0.02,
A13-14,0.02,
A13-140,0.02,
A13-141,0.02,
A13-142,0.02,
A13-143,0.02,
A13-144,0.02,
A13-145,0.02,
A13-146,0.02,
A13-147,0.02,
A13-148,0.02,
A13-149,0.02,
A13-15,0.02,
A13-150,0.02,
A13-151,0.02,
A13-152,0.02,
A13-153,0.02,
A13-154,0.02,
A13-155,0.02,
A13-156,0.02,
A13-157,0.0196,
A13-158,0.0174,
A13-159,0.0172,
A13-16,0.02,
A13-160,0.019,
A13-161,0.0181,
A13-162,0.02,
A13-163,0.02,
A13-164,0.02,
A13-165,0.02,
A13-166,0.02,
A13-167,0.02,
A13-168,0.02,
A13-169,0.02,
A13-17,0.02,
A13-170,0.02,
A13-171,0.02,
A13-172,0.02,
A13-173,0.02,
A13-174,0.02,
A13-175,0.02,
A13-176,0.02,
A13-177,0.02,
A13-178,0.02,
A13-179,0.02,
A13-18,0.02,
A13-180,0.01,
A13-187,0.02,
A13-188,0.02,
A13-189,0.01,
A13-19,0.02,
A13-190,0.009000000000000001,
A13-191,0.005,
A13-192,0.02,
A13-193,0.02,
A13-194,0.02,
A13-195,0.02,
A13-196,0.009000000000000001,
A13-197,0.009000000000000001,
A13-198,0.009000000000000001,
A13-199,0.009000000000000001,
A13-2,0.02,
A13-20,0.02,
A13-200,0.009000000000000001,
A13-201,0.008,
A13-202,0.009000000000000001,
A13-203,0.009000000000000001,
A13-204,0.01,
A13-205,0.01,
A13-206,0.01,
A13-207,0.01,
A13-208,0.002,
A13-209,0.009000000000000001,
A13-21,0.02,
A13-210,0.01,
A13-211,0.015,
A13-212,0.009000000000000001,
A13-213,0.009000000000000001,
A13-214,0.009000000000000001,
A13-215,0.009000000000000001,
A13-216,0.015,
A13-217,0.015,
A13-218,0.009000000000000001,
A13-219,0.009000000000000001,
A13-22,0.02,
A13-220,0.009000000000000001,
A13-221,0.015,
A13-222,0.004,
A13-223,0.004,
A13-224,0.006,
A13-225,0.02,
A13-226,0.02,
A13-227,0.02,
A13-228,0.02,
A13-23,0.02,
A13-231,0.02,
A13-232,0.02,
A13-233,0.02,
A13-234,0.00356,
A13-235,0.0028000000000000004,
A13-236,0.0036,
A13-237,0.0043,
A13-238,0.0044,
A13-239,0.02,
A13-24,0.02,
A13-240,0.02,
A13-248,0.02,
A13-249,0.01,
A13-25,0.02,
A13-250,0.02,
A13-251,0.02,
A13-254,0.02,
A13-255,0.02,
A13-256,0.02,
A13-257,0.02,
A13-258,0.02,
A13-259,0.02,
A13-26,0.02,
A13-260,0.02,
A13-261,0.02,
A13-27,0.02,
A13-28,0.02,
A13-29,0.02,
A13-3,0.02,
A13-30,0.02,
A13-31,0.02,
A13-32,0.02,
A13-33,0.02,
A13-34,0.02,
A13-35,0.02,
A13-36,0.02,
A13-37,0.02,
A13-38,0.02,
A13-39,0.02,
A13-4,0.02,
A13-40,0.02,
A13-41,0.02,
A13-42,0.02,
A13-43,0.02,
A13-44,0.02,
A13-45,0.02,
A13-46,0.02,
A13-47,0.02,
A13-48,0.02,
A13-49,0.02,
A13-5,0.02,
A13-50,0.02,
A13-51,0.02,
A13-52,0.02,
A13-53,0.02,
A13-54,0.02,
A13-55,0.02,
A13-56,0.02,
A13-57,0.02,
A13-58,0.02,
A13-59,0.02,
A13-6,0.02,
A13-60,0.02,
A13-61,0.02,
A13-62,0.02,
A13-63,0.02,
A13-64,0.02,
A13-65,0.02,
A13-66,0.02,
A13-67,0.02,
A13-68,0.02,
A13-69,0.02,
A13-7,0.02,
A13-70,0.02,
A13-71,0.02,
A13-72,0.02,
A13-73,0.02,
A13-74,0.02,
A13-75,0.02,
A13-76,0.02,
A13-77,0.02,
A13-78,0.02,
A13-79,0.02,
A13-8,0.02,
A13-80,0.02,
A13-81,0.02,
A13-82,0.02,
A13-83,0.02,
A13-84,0.02,
A13-85,0.02,
A13-86,0.02,
A13-87,0.02,
A13-88,0.02,
A13-89,0.02,
A13-9,0.02,
A13-90,0.02,
A13-91,0.02,
A13-92,0.02,
A13-93,0.02,
A13-94,0.02,
A13-95,0.02,
A13-96,0.02,
A13-97,0.02,
A13-98,0.02,
A13-99,0.02,
A14-1,0.01,
A14-10,0.01,
A14-105,0.004030000000000001,
A14-107,0.015,
A14-108,0.015,
A14-109,0.015,
A14-11,0.01,
A14-110,0.015,
A14-111,0.015,
A14-112,0.015,
A14-113,0.015,
A14-114,0.015,
A14-119,0.005,
A14-12,0.01,
A14-13,0.01,
A14-14,0.01,
A14-15,0.01,
A14-150,0.011000000000000001,
A14-16,0.01,
A14-164,0.0048,
A14-169,0.01,
A14-17,0.01,
A14-170,0.02,
A14-179,0.02,
A14-18,0.01,
A14-180,0.02,
A14-181,0.02,
A14-182,0.015,
A14-183,0.015,
A14-184,0.015,
A14-185,0.015,
A14-186,0.015,
A14-187,0.015,
A14-188,0.015,
A14-189,0.015,
A14-19,0.01,
A14-190,0.015,
A14-191,0.015,
A14-192,0.015,
A14-193,0.015,
A14-194,0.015,
A14-195,0.003,
A14-196,0.02,
A14-197,0.003,
A14-198,0.02,
A14-199,0.01,
A14-2,0.01,
A14-20,0.01,
A14-200,0.005,
A14-201,0.01,
A14-202,0.01,
A14-203,0.003,
A14-204,0.003,
A14-205,0.003,
A14-206,0.004,
A14-207,0.0016300000000000002,
A14-215,0.02,
A14-217,0.00512,
A14-218,0.005,
A14-219,0.005,
A14-220,0.005,
A14-222,0.005,
A14-223,0.005,
A14-224,0.005,
A14-226,0.005,
A14-227,0.005,
A14-228,0.005,
A14-230,0.005,
A14-231,0.005,
A14-232,0.005,
A14-234,0.005,
A14-235,0.005,
A14-236,0.005,
A14-238,0.005,
A14-239,0.005,
A14-240,0.005,
A14-242,0.005,
A14-243,0.005,
A14-244,0.005,
A14-245,0.005,
A14-250,0.02,
A14-251,0.014150000000000001,
A14-252,0.005,
A14-253,0.005,
A14-255,0.005,
A14-256,0.005,
A14-257,0.005,
A14-258,0.005,
A14-259,0.005,
A14-26,0.02,
A14-261,0.005,
A14-262,0.005,
A14-264,0.005,
A14-265,0.005,
A14-267,0.005,
A14-268,0.005,
A14-269,0.005,
A14-27,0.02,
A14-271,0.005,
A14-272,0.005,
A14-274,0.005,
A14-275,0.005,
A14-276,0.005,
A14-278,0.005,
A14-279,0.005,
A14-28,0.02,
A14-281,0.005,
A14-282,0.005,
A14-283,0.005,
A14-285,0.015,
A14-29,0.02,
A14-30,0.02,
A14-302,0.02,
A14-303,0.02,
A14-304,0.02,
A14-305,0.02,
A14-306,0.01,
A14-307,0.01,
A14-308,0.006,
A14-309,0.006,
A14-31,0.02,
A14-310,0.001,
A14-311,0.002,
A14-312,0.0030299999999999997,
A14-313,0.0034100000000000003,
A14-314,0.00378,
A14-315,0.0010299999999999999,
A14-316,0.00131,
A14-317,0.00158,
A14-318,0.0027800000000000004,
A14-319,0.00196,
A14-32,0.02,
A14-320,0.00247,
A14-321,0.00165,
A14-322,0.02,
A14-323,0.02,
A14-324,0.02,
A14-325,0.02,
A14-326,0.02,
A14-327,0.02,
A14-328,0.02,
A14-329,0.02,
A14-33,0.02,
A14-330,0.00508,
A14-331,0.00299,
A14-333,0.00145,
A14-334,0.011559999999999999,
A14-335,0.02,
A14-336,0.02,
A14-337,0.02,
A14-338,0.02,
A14-339,0.02,
A14-34,0.02,
A14-340,0.02,
A14-341,0.02,
A14-342,0.02,
A14-343,0.02,
A14-344,0.02,
A14-345,0.02,
A14-35,0.02,
A14-36,0.01,
A14-37,0.01,
A14-38,0.02,
A14-39,0.02,
A14-40,0.02,
A14-41,0.02,
A14-42,0.02,
A14-43,0.02,
A14-44,0.02,
A14-45,0.02,
A14-46,0.02,
A14-47,0.01,
A14-48,0.01,
A14-49,0.01,
A14-50,0.01,
A14-51,0.01,
A14-52,0.005,
A14-53,0.005,
A14-54,0.003,
A14-55,0.003,
A14-56,0.01,
A14-57,0.006,
A14-58,0.006999999999999999,
A14-59,0.005,
A14-6,0.01,
A14-60,0.01,
A14-61,0.006,
A14-62,0.005,
A14-63,0.002,
A14-66,0.02,
A14-67,0.02,
A14-68,0.02,
A14-69,0.02,
A14-7,0.01,
A14-70,0.02,
A14-71,0.01,
A14-72,0.005,
A14-73,0.01,
A14-74,0.005,
A14-75,0.02,
A14-76,0.01,
A14-77,0.006,
A14-78,0.005,
A14-79,0.005,
A14-8,0.01,
A14-80,0.01,
A14-81,0.008,
A14-82,0.005,
A14-83,0.005,
A14-84,0.005,
A14-85,0.002,
A14-86,0.005,
A14-87,0.004,
A14-88,0.004,
A14-89,0.002,
A14-9,0.01,
A14-90,0.0002,
A14-91,0.02,
A14-92,0.02,
A14-93,0.01,
A14-94,0.02,
A14-95,0.01,
A14-96,0.01,
A14-97,0.01,
A14-98,0.01,
A14-99,0.01,
A16-181,0.02,
A16-182,0.02,
A16-183,0.02,
A16-93,0.02,
A17-44,0.02,
A9-106,0.001,
A9-108,0.006,
A9-117,0.0025,
A9-135,0.001,
A9-136,0.001,
A9-156,0.0025,
A9-157,0.0025,
A9-16,0.0025,
A9-17,0.0025,
A9-20,0.0025,
A9-21,0.0025,
A9-22,0.0025,
A9-31,0.015,
A9-32,0.015,
A9-37,0.0025,
A9-38,0.0025,
A9-39,0.0025,
A9-54,0.0025,
A9-55,0.0025,
A9-56,0.0025,
A9-57,0.0025,
A9-58,0.015,
A9-59,0.015,
A9-82,0.0038,
A9-83,0.0038,
A9-84,0.0038,
A9-85,0.0038,
A9-90,0.02,
